Area Name,Region,Population,Age Distribution,Socio-economic Status,Road Size,Proximity to Hospitals
Nehru Nagar,85%,2.61M,28% youth,Upper Middle Class,Medium,3 km
Indira Nagar,82%,2.59M,30% youth,Upper Middle Class,Medium,2 km
Green Woods Layout,78%,2.53M,35% youth,Upper Middle Class,Medium,5 km
Dwarka Nagar,81%,2.51M,33% youth,Upper Middle Class,Medium,4 km
RR Layout,84%,2.5M,32% youth,Middle Class,Large,6 km
Dwaraka Nagar,83%,2.47M,29% youth,Middle Class,Medium,3 km
Vidya Nagar,82%,2.45M,30% youth,Upper Middle Class,Medium,4 km
Sarjapura Main Road,79%,2.36M,29% youth,Upper Middle Class,Large,4 km
Glass Factory Layout,78%,2.34M,31% youth,Middle Class,Medium,5 km
Rajiv Nagar,77%,2.26M,31% youth,Middle Class,Medium,5 km
Prakash Nagar,80%,2.2M,28% youth,Upper Middle Class,Medium,4 km
R.T. Nagar,80%,2.12M,27% youth,Upper Middle Class,Medium,3 km
Maruthi Nagar,81%,2.06M,29% youth,Upper Middle Class,Medium,4 km
Shakthi Nagar,82%,2.04M,32% youth,Middle Class,Medium,4 km
Hosur Main Road,78%,2M,31% youth,Upper Middle Class,Large,3 km
Whitefield,83%,1.98M,35% youth,Upper Middle Class,Large,4 km
Hosur Main Road,78%,1.97M,33% youth,Middle Class,Medium,5 km
HAL Layout,83%,1.91M,33% youth,Upper Middle Class,Medium,3 km
NR Colony,84%,1.86M,29% youth,Middle Class,Medium,2 km
Defence Layout,85%,1.86M,32% youth,Upper Middle Class,Medium,3 km
Subhash Nagar,82%,1.80M,31% youth,Middle Class,Medium,4 km
Subhash Nagar,81%,1.80M,29% youth,Middle Class,Medium,4 km
Akash Nagar,83%,1.77M,30% youth,Middle Class,Medium,4 km
Virudhu Nagar,82%,1.75M,30% youth,Upper Middle Class,Medium,5 km
Hoskote Near,78%,1.73M,32% youth,Upper Middle Class,Large,6 km
Hanuman Nagar,83%,1.72M,30% youth,Middle Class,Medium,4 km
Hanuman Nagar,82%,1.72M,28% youth,Middle Class,Medium,4 km
Tilak Nagar,84%,1.71M,31% youth,Upper Middle Class,Medium,3 km
Bellari Road,81%,1.71M,28% youth,Middle Class,Large,4 km
Rajarajeshwari Nagara,80%,1.70M,30% youth,Middle Class,Medium,4 km
Rajarajeshwari Nagara,82%,1.70M,29% youth,Upper Middle Class,Medium,4 km
Rajarajeshwari Nagara,81%,1.70M,30% youth,Upper Middle Class,Medium,4 km
RR Nagar,80%,1.65M,31% youth,Middle Class,Medium,5 km
Shanti Nagar,83%,1.63M,32% youth,Upper Middle Class,Medium,3 km
Tumkur Road,79%,1.62M,29% youth,Middle Class,Large,4 km
Bull Temple Road,80%,1.56M,30% youth,Upper Middle Class,Medium,3 km
Adarsh Nagar,81%,1.56M,32% youth,Middle Class,Medium,3 km
Electronic City Phase II,Southeast Bangalore,"9,50,000",39%,Medium-High,Large,7 km
Near Electronic City,Southeast Bangalore,"9,00,000",40%,Medium-High,Large,6.8 km
Electronic City,Southeast Bangalore,"9,50,000",39%,Medium-High,Large,7.11 km
